id,asins,brand,categories,colors,dateAdded,dateUpdated,dimension,ean,imageURLs,manufacturer,manufacturerNumber,name,primaryCategories,weight
AVpf24SVLJeJML43FAIX,B009AEMB6I,Lenovo,"Computers & Tablets,Computer Accessories & Peripherals,Laptop Accessories,Laptop Chargers & Adapters,Computers,Electronics,Computer Accessories",,2015-10-16T20:50:30Z,2018-05-02T14:25:38Z,9.1 in x 5.9 in x 2.8 in,,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4020/4020023_sa.jpg,Lenovo Idea,45W SLIM AC ADAPTER - 88801419,Lenovo - AC Adapter for Select Lenovo Yoga Laptops - Black,Electronics,12.8 ounces
AVzNjwZZ-jtxr-f3yc_y,B06XSGYCHC,Siriusxm,"Satellite Radio,Satellite Radios,Car & Vehicle Electronics,Car Satellite Radios,Frys,Electronics,Car Electronics,Audio,SIRIUS XM Satellite Radio,Car Audio,Car Electronics & GPS","Siriusxm Sxezr1h1 Xm,Siriusxm Sxezr1v1 Xm",2017-06-22T02:08:41Z,2018-05-28T23:58:54Z,7 in x 8.4 in x 3 in,,http://images.frys.com/art/product/box_shots/9184408.box.GIF,Siriusxm,SXEZR1V1,SiriusXM SXEZR1V1 XM Onyx EZR Satellite Radio Receiver with Vehicle Kit,Electronics,1.25 pounds
AVpf2pgLilAPnD_xjed4,B012ASF1WQ,Pny,"Desktop Memory,Computers/Tablets & Networking,Memory (RAM),Computer Components & Parts,Computers & Accessories,Computer Components,Memory (RAM,Memory,Electronics,Computers & Tablets,Computer Cards & Components",Blue,2016-03-11T14:54:02Z,2018-05-28T23:47:33Z,8 in x 5.2 in x 0.6 in,,http://i.ebayimg.com/thumbs/images/g/SVsAAOSw-0xYkdfk/s-l96.jpg,,MD16GK2D4240015AB,PNY Anarchy 16GB Kit (2x8GB) DDR4 2400MHz (PC4-19200) CL15 Desktop Memory (BLUE) - MD16GK2D4240015AB,Electronics,0.8 ounces
AVpg8i6NilAPnD_xzQdN,"B01LYGPB3J,B011QHAOWO",Sling Media,"TV & Video,Media Streaming Players,New Technology,Frys,Electronics,Streaming Media Players,Television & Video,TVs Entertainment,TV & Home Theater,Internet TV Broadcasters,Streaming Media,All Streaming Media Players",Black,2015-09-30T18:03:06Z,2018-05-28T23:53:50Z,8.1 in x 4.7 in x 3.8 in,,https://images-na.ssl-images-amazon.com/images/I/51RQYjrlijL._SL1000_.jpg,Slingbox,SB375-100,Slingbox M2,Electronics,1.8 pounds
AVpfKRGKLJeJML433rPX,"B01J0BFAAO,B019Q88VAM",Sony,"Portable Bluetooth Speakers,Audio Docks & Mini Speakers,Used:TV Entertainment,Bluetooth & Wireless Speakers,Portable Audio & Headphones,Used:Portable Audio,Portable Audio & Video,Frys,Electronics,Sony SRS-HG1,Used:Speakers,Home Audio & Theater,Wireless Home Speakers,All Home Speakers,Mobile,iPod, Audio Player Accessories,Consumer Electronics,Mobile Bluetooth Speakers,Audio Speakers,Home Audio,Portable Speakers & Docks,Audio,Mobile Speakers","Red,Pink,Yellow,Blue,Bordeaux Pink,Cinnabar Red,Black,Viridian Blue,Charcoal Black",2016-07-07T19:29:17Z,2018-05-29T17:15:47Z,10.3 x 4.2 x 5.4 inches,,http://i.ebayimg.com/thumbs/images/g/EkgAAOSweJ1ZxTPU/s-l96.jpg,Sony,SRSHG1/BLK,Sony SRSHG1/BLK Hi-Res Wireless Speaker- Charcoal black,Electronics,2.5 pounds
AVpgswjcLJeJML43Ro-G,B004OVE61U,Midland,"Electronics,Portable Audio,MP3 Accessories,All Portable Speakers,Audio,Docks, Radios & Boomboxes,Radios,Portable Audio & Video,Shortwave Radios",Multicolor,2015-09-20T20:39:11Z,2018-01-08T19:08:30Z,,,https://i5.walmartimages.com/asr/1ba1ee7b-a6c7-4cf4-a506-7540d23da683_1.4868e85b5b7f66b17b18ee381f71b24e.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF\,Midland,WR-120C,"Midland Weather Alert Radio, 1.0 CT",Electronics,1.4 pounds
AVpfjP9uilAPnD_xdy6-,B007QOIP3M,Sony,"Electronics,Computers,Computer Accessories,Blank Media,Accessories & Supplies,Data Cartridges,Cameras & Photo,Camera & Photo Accessories,Camcorder Tapes & Discs,Cameras & Camcorders,Camcorder Accessories,Blank DVDs & Tapes,Consumer Electronics,TV, Video & Home Audio,TV, Video & Audio Accessories,Other TV, Video & Audio Accs,Mini DVs,Accessories,Audio Cassettes",,2015-11-16T02:04:10Z,2018-04-07T05:41:45Z,,,https://i5.walmartimages.com/asr/8a26ea29-695b-4e9b-b002-9d42730839b7_1.acc4d922fb91d62223bd84163ddf3d57.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,Sony,DVM60PRR6C,Sony Mini Digital Video Cassettes - DVC - 1 Hour,Electronics,6.2 ounces
AVpfgGwSLJeJML43-VCn,B01ETTL6LE,Sony,"Portable Bluetooth Speakers,Audio Docks & Mini Speakers,Bluetooth & Wireless Speakers,Portable Audio & Headphones,Portable Audio & Video,Electronics,TVs Entertainment,Speakers,Home Audio & Theater,Wireless Home Speakers,All Home Speakers,iPod, Audio Player Accessories,Consumer Electronics,Wireless Speakers,Wireless & Multiroom Audio,Wireless and Bluetooth Speakers,Home Audio,Portable Speakers & Docks,Audio,Wireless Multiroom Speakers,Wireless Multi-Room Speakers",Black,2016-06-11T06:45:45Z,2018-06-05T22:48:58Z,3.35 in x 3.35 in x 11.8 in,27242896314,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4890/4890401cv12d.jpg,,SRSZR7,SRS-ZR7 Wireless Speaker,Electronics,3.5 lb
AV13V_i2glJLPUi8PFgb,B009E6J1BU,Toshiba,"Internal Solid State Drives,Computers & Accessories,Computer Accessories & Peripherals,Electronics,Computers & Tablets,Hard Drives & Storage,Data Storage",,2017-07-25T01:24:00Z,2018-06-01T19:31:33Z,,,https://images-na.ssl-images-amazon.com/images/I/61tg8FCoyzL._SL1500_.jpg,,PH3300U-1I72,Toshiba - 3TB Internal Serial ATA III Hard Drive for Desktops,Electronics,2 ounces
AVpiEA1f1cnluZ0-JaoG,B00B7C07LC,Power Acoustik,"Auto & Tires,Auto Electronics,Car Speakers and Subwoofers,10\\ Car Subwoofer,Car Subwoofers,All Car Subwoofers,Car Electronics & GPS,Car Audio,Car Subwoofers & Enclosures,Component Subwoofers,Consumer Electronics,Vehicle Electronics & GPS,eBay Motors,Parts & Accessories,Car Electronics,Subwoofers & Enclosures,Subwoofers,Electronics,Car & Vehicle Electronics",,2015-12-02T11:10:54Z,2018-05-02T14:25:22Z,,,https://i5.walmartimages.com/asr/6924a0a4-9a98-4745-b053-7612dbb03bf1_1.85f687a2dccdc3ea8956befb1b9f2ba8.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,,GW3-10,"Power Acoustik - Gothic Series 10"" Dual-Voice-Coil 2-Ohm Subwoofer - Black",Electronics,18.3 pounds
